A    AX 
prendeu  P R E~ D E+ UX 
preocupa     P R E O K U+ P AX 
preocupada   P R E O K U P A+ D AX 
preocupadas  P R E O K U P A+ D AX S 
preocupado   P R E O K U P A+ D UX 
preocupados  P R E O K U P A+ D UX S 
preocupam    P R E O K U+ P A~+ W~ 
preocupante  P R E O K U P A~+ TJ IX 
preocupar    P R E O K U P A+ RR 
preocuparam  P R E O K U P A+ R A~+ W~ 
preocupava   P R E O K U P A+ V AX 
preocupavam  P R E O K U P A+ V A~+ W~ 
preocupação  P R E O K U P A S A~+ W~ 
preocupações     P R E O K U P A S O~+ I~ S 
preocupe     P R E O K U+ P IX 
preocupou    P R E O K U P O+ 
prepara  P R E P A+ R AX 
preparada    P R E P A R A+ D AX 
preparadas   P R E P A R A+ D AX S 
preparado    P R E P A R A+ D UX 
preparador   P R E P A R A D O+ RR 
preparados   P R E P A R A+ D UX S 
preparam     P R E P A+ R A~+ W~ 
preparamos   P R E P A R A~+ M UX S 
preparando   P R E P A R A~+ D UX 
preparar     P R E P A R A+ RR 
prepararam   P R E P A R A+ R A~+ W~ 
preparasse   P R E P A R A+ S IX 
preparativos     P R E P A R A TJ I+ V UX S 
preparava    P R E P A R A+ V AX 
preparavam   P R E P A R A+ V A~+ W~ 
preparação   P R E P A R A S A~+ W~ 
preparações  P R E P A R A S O~+ I~ S 
prepare  P R E P A+ R IX 
preparo  P R E P A+ R UX 
preparou     P R E P A R O+ 
preponderante    P R E P O~ D E R A~+ TJ IX 
prerrogativa     P R E RR O G A TJ I+ V AX 
presa    P R E+ Z AX 
presas   P R E+ Z AX S 
prescindir   P R E S I~ DJ I+ RR 
prescrito    P R E S K R I+ T UX 
prescritos   P R E S K R I+ T UX S 
presencia    P R E Z E~ S I+ AX 
presenciar   P R E Z E~ S I A+ RR 
presenciou   P R E Z E~ S I O+ 
presente     P R E Z E~+ TJ IX 
presenteou   P R E Z E~ T E O+ 
presentes    P R E Z E~+ TJ IX S 
presença     P R E Z E~+ S AX 
preserva     P R E Z E+ RR V AX 
preservada   P R E Z E RR V A+ D AX 
preservar    P R E Z E RR V A+ RR 
preservativos    P R E Z E RR V A TJ I+ V UX S 
preservação  P R E Z E RR V A S A~+ W~ 
presidenciais    P R E Z I D E~ S I A+ IX S 
presidencial     P R E Z I D E~ S I A+ W 
presidente   P R E Z I D E~+ TJ IX 
presidentes  P R E Z I D E~+ TJ IX S 
presidência  P R E Z I D E~+ S I AX 
preso    P R E+ Z UX 
presos   P R E+ Z UX S 
pressa   P R E+ S AX 
pressas  P R E+ S AX S 
pressentimento   P R E S E~ TJ I M E~+ T UX 
pressiona    P R E S I O+ N AX 
pressionada  P R E S I O N A+ D AX 
pressionadas     P R E S I O N A+ D AX S 
pressionado  P R E S I O N A+ D UX 
pressionam   P R E S I O+ N A~+ W~ 
pressionar   P R E S I O N A+ RR 
pressionaram     P R E S I O N A+ R A~+ W~ 
pressione    P R E S I O+ N IX 
pressionou   P R E S I O N O+ 
pressupõe    P R E S U P O~+ I~ 
pressão  P R E S A~+ W~ 
pressões     P R E S O~+ I~ S 
presta   P R E+ S T AX 
prestada     P R E S T A+ D AX 
prestado     P R E S T A+ D UX 
prestados    P R E S T A+ D UX S 
prestam  P R E+ S T A~+ W~ 
prestando    P R E S T A~+ D UX 
prestar  P R E S T A+ RR 
prestaram    P R E S T A+ R A~+ W~ 
prestará     P R E S T A R A+ 
prestava     P R E S T A+ V AX 
prestação    P R E S T A S A~+ W~ 
prestações   P R E S T A S O~+ I~ S 
preste   P R E+ S TJ IX 
prestes  P R E+ S TJ IX S 
prestou  P R E S T O+ 
prestígio    P R E S TJ I+ Z I UX 
presume  P R E Z U+ M IX 
presunto     P R E Z U~+ T UX 
presépio     P R E Z E+ P I UX 
presídio     P R E Z I+ DJ I UX 
presídios    P R E Z I+ DJ I UX S 
preta    P R E+ T AX 
pretas   P R E+ T AX S 
pretenda     P R E T E~+ D AX 
pretende     P R E T E~+ DJ IX 
pretendem    P R E T E~+ D E~ I~ 
pretendemos  P R E T E~ D E+ M UX S 
pretendente  P R E T E~ D E~+ TJ IX 
pretendentes     P R E T E~ D E~+ TJ IX S 
pretender    P R E T E~+ D E RR 
pretendia    P R E T E~ DJ I+ AX 
pretendiam   P R E T E~ DJ I+ A~+ W~ 
pretendida   P R E T E~ DJ I+ D AX 
pretendido   P R E T E~ DJ I+ D UX 
pretendo     P R E T E~+ D UX 
pretensão    P R E T E~ S A~+ W~ 
pretexto     P R E T E+ S T UX 
pretextos    P R E T E+ S T UX S 
preto    P R E+ T UX 
pretos   P R E+ T UX S 
prevalece    P R E V A L E+ S IX 
prevalecem   P R E V A L E+ S E~+ I~ 
prevalecer   P R E V A L E+ S E RR 
prevendo     P R E V E~+ D UX 
prevenir     P R E V E N I+ RR 
preventiva   P R E V E~ TJ I+ V AX 
preventivamente  P R E V E~ TJ I V A M E~+ TJ IX 
preventivo   P R E V E~ TJ I+ V UX 
prevenção    P R E V E~ S A~+ W~ 
prever   P R E+ V E RR 
previa   P R E V I+ AX 
previamente  P R E V I A M E~+ TJ IX 
previdência  P R E V I D E~+ S I AX 
previsibilidade  P R E V I Z I B I L I D A+ DJ IX 
prevista     P R E V I+ S T AX 
previstas    P R E V I+ S T AX S 
previsto     P R E V I+ S T UX 
previstos    P R E V I+ S T UX S 
previsão     P R E V I Z A~+ W~ 
previsível   P R E V I Z I+ V E W 
previsões    P R E V I Z O~+ I~ S 
previu   P R E V I+ UX 
prevê    P R E V E+ 
prevêem  P R E V E+ E~ I~ 
preâmbulo    P R E A~+ B U L UX 
preço    P R E+ S UX 
preços   P R E+ S UX S 
prima    P R I+ M AX 
primas   P R I+ M AX S 
primatas     P R I M A+ T AX S 
primavera    P R I M A V E+ R AX 
primazia     P R I M A Z I+ AX 
primeira     P R I M E+ I R AX 
primeiramente    P R I M E I R A M E~+ TJ IX 
primeiras    P R I M E+ I R AX S 
primeiro     P R I M E+ I R UX 
primeiros    P R I M E+ I R UX S 
primer   P R I+ M E RR 
primo    P R I+ M UX 
primordial   P R I M O RR DJ I A+ W 
primos   P R I+ M UX S 
primária     P R I M A+ R I AX 
primárias    P R I M A+ R I AX S 
primário     P R I M A+ R I UX 
primários    P R I M A+ R I UX S 
princesa     P R I~ S E+ Z AX 
princesas    P R I~ S E+ Z AX S 
principais   P R I~ S I P A+ IX S 
principal    P R I~ S I P A+ W 
principalmente   P R I~ S I P A W M E~+ TJ IX 
princípio    P R I~ S I+ P I UX 
princípios   P R I~ S I+ P I UX S 
priori   P R I O R I+ 
prioridade   P R I O R I D A+ DJ IX 
prioridades  P R I O R I D A+ DJ IX S 
prioritária  P R I O R I T A+ R I AX 
prioritário  P R I O R I T A+ R I UX 
prisioneiros     P R I Z I O N E+ I R UX S 
prisão   P R I Z A~+ W~ 
prisões  P R I Z O~+ I~ S 
privacidade  P R I V A S I D A+ DJ IX 
privada  P R I V A+ D AX 
privadas     P R I V A+ D AX S 
privado  P R I V A+ D UX 
privados     P R I V A+ D UX S 
privatizada  P R I V A TJ I Z A+ D AX 
privilegia   P R I V I L E Z I+ AX 
privilegiada     P R I V I L E Z I A+ D AX 
privilegiadas    P R I V I L E Z I A+ D AX S 
privilegiado     P R I V I L E Z I A+ D UX 
privilegiando    P R I V I L E Z I A~+ D UX 
privilegiou  P R I V I L E Z I O+ 
privilégio   P R I V I L E+ Z I UX 
privilégios  P R I V I L E+ Z I UX S 
pro  P R O+ 
proa     P R O+ AX 
probabilidade    P R O B A B I L I D A+ DJ IX 
problema     P R O B L E+ M AX 
problemas    P R O B L E+ M AX S 
problemática     P R O B L E M A+ TJ I K AX 
problemático     P R O B L E M A+ TJ I K UX 
procede  P R O S E+ DJ IX 
procedente   P R O S E D E~+ TJ IX 
proceder     P R O S E+ D E RR 
procedeu     P R O S E D E+ UX 
procediam    P R O S E DJ I+ A~+ W~ 
procedimento     P R O S E DJ I M E~+ T UX 
procedimentos    P R O S E DJ I M E~+ T UX S 
processa     P R O S E+ S AX 
processada   P R O S E S A+ D AX 
processado   P R O S E S A+ D UX 
processamento    P R O S E S A M E~+ T UX 
processando  P R O S E S A~+ D UX 
processar    P R O S E S A+ RR 
processo     P R O S E+ S UX 
processos    P R O S E+ S UX S 
processou    P R O S E S O+ 
processuais  P R O S E S U A+ IX S 
proclama     P R O K L A~+ M AX 
proclamou    P R O K L A M O+ 
procriar     P R O K R I A+ RR 
procura  P R O K U+ R AX 
procurada    P R O K U R A+ D AX 
procuradas   P R O K U R A+ D AX S 
procurado    P R O K U R A+ D UX 
procurador   P R O K U R A D O+ RR 
procuradoria     P R O K U R A D O R I+ AX 
procurados   P R O K U R A+ D UX S 
procuram     P R O K U+ R A~+ W~ 
procuramos   P R O K U R A~+ M UX S 
procurando   P R O K U R A~+ D UX 
procurar     P R O K U R A+ RR 
procuraram   P R O K U R A+ R A~+ W~ 
procurarem   P R O K U R A+ R E~ I~ 
procurava    P R O K U R A+ V AX 
procuravam   P R O K U R A+ V A~+ W~ 
procure  P R O K U+ R IX 
procurei     P R O K U R E+ IX 
procurem     P R O K U+ R E~ I~ 
procuro  P R O K U+ R UX 
procurou     P R O K U R O+ 
produtiva    P R O D U TJ I+ V AX 
produtivas   P R O D U TJ I+ V AX S 
produtividade    P R O D U TJ I V I D A+ DJ IX 
produtivo    P R O D U TJ I+ V UX 
produto  P R O D U+ T UX 
produtor     P R O D U T O+ RR 
produtora    P R O D U T O+ R AX 
produtoras   P R O D U T O+ R AX S 
produtores   P R O D U T O+ R IX S 
produtos     P R O D U+ T UX S 
produz   P R O D U+ S 
produza  P R O D U+ Z AX 
produzem     P R O D U+ Z E~ I~ 
produzia     P R O D U Z I+ AX 
produziam    P R O D U Z I+ A~+ W~ 
produzida    P R O D U Z I+ D AX 
produzidas   P R O D U Z I+ D AX S 
produzido    P R O D U Z I+ D UX 
produzidos   P R O D U Z I+ D UX S 
produzindo   P R O D U Z I~+ D UX 
produzir     P R O D U Z I+ RR 
produziram   P R O D U Z I+ R A~+ W~ 
produzisse   P R O D U Z I+ S IX 
produziu     P R O D U Z I+ UX 
produção     P R O D U S A~+ W~ 
produções    P R O D U S O~+ I~ S 
prodígio     P R O DJ I+ Z I UX 
proeza   P R O E+ Z AX 
profecia     P R O F E S I+ AX 
proferidas   P R O F E R I+ D AX S 
professor    P R O F E S O+ RR 
professora   P R O F E S O+ R AX 
professores  P R O F E S O+ R IX S 
profeta  P R O F E+ T AX 
profetas     P R O F E+ T AX S 
profissionais    P R O F I S I O N A+ IX S 
profissional     P R O F I S I O N A+ W 
profissionalismo     P R O F I S I O N A L I+ Z M UX 
profissionalmente    P R O F I S I O N A W M E~+ TJ IX 
profissão    P R O F I S A~+ W~ 
profissões   P R O F I S O~+ I~ S 
profunda     P R O F U~+ D AX 
profundamente    P R O F U~ D A M E~+ TJ IX 
profundas    P R O F U~+ D AX S 
profundezas  P R O F U~ D E+ Z AX S 
profundidade     P R O F U~ DJ I D A+ DJ IX 
profundo     P R O F U~+ D UX 
profundos    P R O F U~+ D UX S 
profusão     P R O F U Z A~+ W~ 
prognóstico  P R O G N O+ S TJ I K UX 
programa     P R O G R A~+ M AX 
programada   P R O G R A M A+ D AX 
programado   P R O G R A M A+ D UX 
programados  P R O G R A M A+ D UX S 
programar    P R O G R A M A+ RR 
programas    P R O G R A~+ M AX S 
programação  P R O G R A M A S A~+ W~ 
progredido   P R O G R E DJ I+ D UX 
progredindo  P R O G R E DJ I~+ D UX 
progressista     P R O G R E S I+ S T AX 
progressistas    P R O G R E S I+ S T AX S 
progressivamente     P R O G R E S I V A M E~+ TJ IX 
progressivas     P R O G R E S I+ V AX S 
progressivo  P R O G R E S I+ V UX 
progresso    P R O G R E+ S UX 
progressos   P R O G R E+ S UX S 
progressão   P R O G R E S A~+ W~ 
progridem    P R O G R I+ D E~ I~ 
proibida     P R O I B I+ D AX 
proibidas    P R O I B I+ D AX S 
proibido     P R O I B I+ D UX 
proibidos    P R O I B I+ D UX S 
proibindo    P R O I B I~+ D UX 
proibir  P R O I B I+ RR 
proibiram    P R O I B I+ R A~+ W~ 
proibitivos  P R O I B I TJ I+ V UX S 
proibiu  P R O I B I+ UX 
proibição    P R O I B I S A~+ W~ 
projeta  P R O Z E+ T AX 
projetado    P R O Z E T A+ D UX 
projetados   P R O Z E T A+ D UX S 
projetar     P R O Z E T A+ RR 
projetava    P R O Z E T A+ V AX 
projete  P R O Z E+ TJ IX 
projeto  P R O Z E+ T UX 
projetores   P R O Z E T O+ R IX S 
projetos     P R O Z E+ T UX S 
projeção     P R O Z E S A~+ W~ 
projeções    P R O Z E S O~+ I~ S 
projétil     P R O Z E+ TJ I W 
prol     P R O+ W 
prolonga     P R O L O~+ G AX 
prolongada   P R O L O~ G A+ D AX 
prolongadas  P R O L O~ G A+ D AX S 
prolongado   P R O L O~ G A+ D UX 
prolongamento    P R O L O~ G A M E~+ T UX 
prolongar    P R O L O~ G A+ RR 
prolongou    P R O L O~ G O+ 
promessa     P R O M E+ S AX 
promessas    P R O M E+ S AX S 
promete  P R O M E+ TJ IX 
prometem     P R O M E+ T E~ I~ 
prometer     P R O M E+ T E RR 
prometeram   P R O M E T E+ R A~+ W~ 
prometeu     P R O M E T E+ UX 
prometi  P R O M E TJ I+ 
prometia     P R O M E TJ I+ AX 
prometida    P R O M E TJ I+ D AX 
prometido    P R O M E TJ I+ D UX 
prometo  P R O M E+ T UX 
promissor    P R O M I S O+ RR 
promocional  P R O M O S I O N A+ W 
promotor     P R O M O T O+ RR 
promotora    P R O M O T O+ R AX 
promotores   P R O M O T O+ R IX S 
promovam     P R O M O+ V A~+ W~ 
promove  P R O M O+ V IX 
promovem     P R O M O+ V E~ I~ 
promovendo   P R O M O V E~+ D UX 
promover     P R O M O+ V E RR 
promoveram   P R O M O V E+ R A~+ W~ 
promoveu     P R O M O V E+ UX 
promovida    P R O M O V I+ D AX 
promovido    P R O M O V I+ D UX 
promoção     P R O M O S A~+ W~ 
promoções    P R O M O S O~+ I~ S 
pronta   P R O~+ T AX 
prontamente  P R O~ T A M E~+ TJ IX 
prontas  P R O~+ T AX S 
pronto   P R O~+ T UX 
prontos  P R O~+ T UX S 
pronunciadas     P R O N U~ S I A+ D AX S 
pronunciado  P R O N U~ S I A+ D UX 
pronunciam   P R O N U~ S I+ A~+ W~ 
pronunciamento   P R O N U~ S I A M E~+ T UX 
pronunciando     P R O N U~ S I A~+ D UX 
pronunciar   P R O N U~ S I A+ RR 
pronunciava  P R O N U~ S I A+ V AX 
propaga  P R O P A+ G AX 
propaganda   P R O P A G A~+ D AX 
propagando   P R O P A G A~+ D UX 
propensos    P R O P E~+ S UX S 
propicia     P R O P I S I+ AX 
propinas     P R O P I+ N AX S 
propor   P R O P O+ RR 
proporciona  P R O P O RR S I O+ N AX 
proporcionais    P R O P O RR S I O N A+ IX S 
proporcionando   P R O P O RR S I O N A~+ D UX 
proporcionar     P R O P O RR S I O N A+ RR 
proporcionou     P R O P O RR S I O N O+ 
proporção    P R O P O RR S A~+ W~ 
proporções   P R O P O RR S O~+ I~ S 
proposta     P R O P O+ S T AX 
propostas    P R O P O+ S T AX S 
proposto     P R O P O+ S T UX 
propostos    P R O P O+ S T UX S 
propriamente     P R O P R I A M E~+ TJ IX 
propriedade  P R O P R I E D A+ DJ IX 
propriedades     P R O P R I E D A+ DJ IX S 
proprietária     P R O P R I E T A+ R I AX 
proprietário     P R O P R I E T A+ R I UX 
proprietários    P R O P R I E T A+ R I UX S 
propulsores  P R O P U W S O+ R IX S 
propunha     P R O P U+ NJ AX 
propusemos   P R O P U Z E+ M UX S 
propícia     P R O P I+ S I AX 
propício     P R O P I+ S I UX 
propósito    P R O P O+ Z I T UX 
propôs   P R O P O+ S 
propõe   P R O P O~+ I~ 
propõem  P R O P O~+ I~ 
prorrogar    P R O RR O G A+ RR 
prorrogação  P R O RR O G A S A~+ W~ 
pros     P R O+ S 
prosa    P R O+ Z AX 
proscrito    P R O S K R I+ T UX 
prospera     P R O S P E+ R AX 
prosperidade     P R O S P E R I D A+ DJ IX 
prossegue    P R O S E+ G IX 
prosseguem   P R O S E G E~+ I~ 
prosseguimento   P R O S E G I M E~+ T UX 
prosseguir   P R O S E G I+ RR 
prosseguiremos   P R O S E G I R E+ M UX S 
prosseguirá  P R O S E G I R A+ 
prosseguiu   P R O S E G I+ UX 
prostituição     P R O S TJ I T U I S A~+ W~ 
prostituta   P R O S TJ I T U+ T AX 
protagonismo     P R O T A G O N I+ Z M UX 
protagonista     P R O T A G O N I+ S T AX 
protagonistas    P R O T A G O N I+ S T AX S 
protagonizados   P R O T A G O N I Z A+ D UX S 
protagonizar     P R O T A G O N I Z A+ RR 
protagonizaram   P R O T A G O N I Z A+ R A~+ W~ 
protagonizou     P R O T A G O N I Z O+ 
protecionismo    P R O T E S I O N I+ Z M UX 
protege  P R O T E+ Z IX 
protegem     P R O T E+ Z E~ I~ 
protegendo   P R O T E Z E~+ D UX 
proteger     P R O T E+ Z E RR 
protegida    P R O T E Z I+ D AX 
protegido    P R O T E Z I+ D UX 
protegidos   P R O T E Z I+ D UX S 
protejam     P R O T E+ Z A~+ W~ 
protesta     P R O T E+ S T AX 
protestam    P R O T E+ S T A~+ W~ 
protestante  P R O T E S T A~+ TJ IX 
protestar    P R O T E S T A+ RR 
protestaram  P R O T E S T A+ R A~+ W~ 
protesto     P R O T E+ S T UX 
protestos    P R O T E+ S T UX S 
protetor     P R O T E T O+ RR 
protetora    P R O T E T O+ R AX 
protetores   P R O T E T O+ R IX S 
proteção     P R O T E S A~+ W~ 
proteína     P R O T E I+ N AX 
proteínas    P R O T E I+ N AX S 
protocolar   P R O T O K O L A+ RR 
protocolo    P R O T O K O+ L UX 
protótipo    P R O T O+ TJ I P UX 
protótipos   P R O T O+ TJ I P UX S 
prova    P R O+ V AX 
provadas     P R O V A+ D AX S 
provado  P R O V A+ D UX 
provam   P R O+ V A~+ W~ 
provando     P R O V A~+ D UX 
provar   P R O V A+ RR 
provaram     P R O V A+ R A~+ W~ 
provas   P R O+ V AX S 
provavelmente    P R O V A V E W M E~+ TJ IX 
prove    P R O+ V IX 
provedor     P R O V E D O+ RR 
proveito     P R O V E+ I T UX 
proveitosa   P R O V E I T O+ Z AX 
provem   P R O+ V E~ I~ 
proveniente  P R O V E N I E~+ TJ IX 
provenientes     P R O V E N I E~+ TJ IX S 
proventos    P R O V E~+ T UX S 
providência  P R O V I D E~+ S I AX 
providências     P R O V I D E~+ S I AX S 
provinciano  P R O V I~ S I A~+ N UX 
provisória   P R O V I Z O+ R I AX 
provisório   P R O V I Z O+ R I UX 
provisões    P R O V I Z O~+ I~ S 
provoca  P R O V O+ K AX 
provocada    P R O V O K A+ D AX 
provocado    P R O V O K A+ D UX 
provocador   P R O V O K A D O+ RR 
provocados   P R O V O K A+ D UX S 
provocam     P R O V O+ K A~+ W~ 
provocando   P R O V O K A~+ D UX 
provocar     P R O V O K A+ RR 
provocaram   P R O V O K A+ R A~+ W~ 
provocou     P R O V O K O+ 
provoque     P R O V O+ K IX 
provou   P R O V O+ 
provável     P R O V A+ V E W 
provém   P R O V E~+ I~ 
província    P R O V I+ N S I AX 
proximidade  P R O S I M I D A+ DJ IX 
proximidades     P R O S I M I D A+ DJ IX S 
proíba   P R O I+ B AX 
proíbe   P R O I+ B IX 
prudente     P R U D E~+ TJ IX 
prudência    P R U D E~+ S I AX 
prá  P R A+ 
prática  P R A+ TJ I K AX 
práticas     P R A+ TJ I K AX S 
prático  P R A+ TJ I K UX 
práticos     P R A+ TJ I K UX S 
pré  P R E+ 
prédio   P R E+ DJ I UX 
prédios  P R E+ DJ I UX S 
prévia   P R E+ V I AX 
prévias  P R E+ V I AX S 
prévio   P R E+ V I UX 
prêmio   P R E+ M I UX 
prêmios  P R E+ M I UX S 
príncipe     P R I+ N S I P IX 
príncipes    P R I+ N S I P IX S 
pró  P R O+ 
prólogo  P R O+ L O G UX 
própria  P R O+ P R I AX 
próprias     P R O+ P R I AX S 
próprio  P R O+ P R I UX 
próprios     P R O+ P R I UX S 
próspera     P R O+ S P E R AX 
próspero     P R O+ S P E R UX 
próstata     P R O+ S T A T AX 
próteses     P R O+ T E Z IX S 
próxima  P R O+ SCH I M AX 
próximas     P R O+ SCH I M AX S 
próximo  P R O+ SCH I M UX 
próximos     P R O+ SCH I M UX S 
psicanalista     P S I K A N A L I+ S T AX 
psicanálise  P S I K A N A+ L I Z IX 
psicologia   P S I K O L O Z I+ AX 
psicologicamente     P S I K O L O Z I K A M E~+ TJ IX 
psicológica  P S I K O L O+ Z I K AX 
psicológicas     P S I K O L O+ Z I K AX S 
psicológico  P S I K O L O+ Z I K UX 
psicológicos     P S I K O L O+ Z I K UX S 
psicose  P S I K O+ Z IX 
psicoterapia     P S I K O T E R A P I+ AX 
psicóloga    P S I K O+ L O G AX 
psicólogo    P S I K O+ L O G UX 
psicólogos   P S I K O+ L O G UX S 
psiquiatra   P S I K I A+ T R AX 
psiquiátrica     P S I K I A+ T R I K AX 
psiquiátrico     P S I K I A+ T R I K UX 
psiquiátricos    P S I K I A+ T R I K UX S 
psíquica     P S I+ K I K AX 
puberdade    P U B E RR D A+ DJ IX 
publicada    P U B L I K A+ D AX 
publicadas   P U B L I K A+ D AX S 
publicado    P U B L I K A+ D UX 
publicados   P U B L I K A+ D UX S 
publicamente     P U B L I K A M E~+ TJ IX 
publicando   P U B L I K A~+ D UX 
publicar     P U B L I K A+ RR 
publicaram   P U B L I K A+ R A~+ W~ 
publicação   P U B L I K A S A~+ W~ 
publicidade  P U B L I S I D A+ DJ IX 
publicitária     P U B L I S I T A+ R I AX 
publicitário     P U B L I S I T A+ R I UX 
publicitários    P U B L I S I T A+ R I UX S 
publico  P U B L I+ K UX 
publicou     P U B L I K O+ 
pude     P U+ DJ IX 
pudemos  P U D E+ M UX S 
puder    P U+ D E RR 
puderam  P U D E+ R A~+ W~ 
puderem  P U D E+ R E~ I~ 
pudermos     P U D E+ RR M UX S 
pudesse  P U D E+ S IX 
pudessem     P U D E+ S E~ I~ 
pudo     P U+ D UX 
pudor    P U D O+ RR 
pudéssemos   P U D E+ S E M UX S 
pugilista    P U Z I L I+ S T AX 
pula     P U+ L AX 
pulando  P U L A~+ D UX 
pular    P U L A+ RR 
pulavam  P U L A+ V A~+ W~ 
pulgas   P U+ W G AX S 
pulmonar     P U W M O N A+ RR 
pulmonares   P U W M O N A+ R IX S 
pulmões  P U W M O~+ I~ S 
pulo     P U L UX 
pulou    P U L O+ 
pulseira     P U W S E+ I R AX 
pulseiras    P U W S E+ I R AX S 
pulso    P U+ W S UX 
pulsos   P U+ W S UX S 
pune     P U+ N IX 
punha    P U+ NJ AX 
punhado  P U NJ A+ D UX 
punho    P U+ NJ UX 
punhos   P U+ NJ UX S 
punida   P U N I+ D AX 
punidas  P U N I+ D AX S 
punido   P U N I+ D UX 
punidos  P U N I+ D UX S 
punir    P U N I+ RR 
punitivas    P U N I TJ I+ V AX S 
punição  P U N I S A~+ W~ 
punk     P U~+ K 
punto    P U~+ T UX 
pupilo   P U P I+ L UX 
pupilos  P U P I+ L UX S 
pura     P U+ R AX 
puramente    P U R A M E~+ TJ IX 
pureza   P U R E+ Z AX 
puro     P U+ R UX 
puros    P U+ R UX S 
pus  P U+ S 
puseram  P U Z E+ R A~+ W~ 
puta     P U+ T AX 
puto     P U+ T UX 
puxa     P U+ SCH AX 
puxada   P U SCH A+ D AX 
puxado   P U SCH A+ D UX 
puxam    P U SCH A~+ W~ 
puxando  P U SCH A~+ D UX 
puxar    P U SCH A+ RR 
puxou    P U SCH O+ 
puxão    P U SCH A~+ W~ 
pá   P A+ 
página   P A+ Z I N AX 
páginas  P A+ Z I N AX S 
pálida   P A+ L I D AX 
pára     P A+ R AX 
páreo    P A+ R I UX 
pássaro  P A+ S A R UX 
pássaros     P A+ S A R UX S 
pátria   P A+ T R I AX 
pânico   P A~+ N I K UX 
pântano  P A~+ T A N UX 
pães     P A~+ I~ S 
pão  P A~+ W~ 
pé   P E+ 
pélvis   P E+ W V IX S 
périplo  P E+ R I P L UX 
pérolas  P E+ R O L AX S 
pés  P E+ S 
péssima  P E+ S I M AX 
péssimas     P E+ S I M AX S 
péssimo  P E+ S I M UX 
péssimos     P E+ S I M UX S 
pétalas  P E+ T A L AX S 
pênalti  P E+ N A W TJ IX 
pêsames  P E+ Z A M IX S 
pílulas  P I+ L U L AX S 
pó   P O+ 
pódio    P O+ DJ I UX 
pólos    P O+ L UX S 
pólvora  P O+ W V O R AX 
pós  P O+ S 
pôde     P O+ DJ IX 
pôr  P O+ RR 
pôs  P O+ S 
pôster   P O+ S T E RR 
põe  P O~+ I~ 
põem     P O~+ I~ 
pública  P U+ B L I K AX 
públicas     P U+ B L I K AX S 
público  P U+ B L I K UX 
públicos     P U+ B L I K UX S 
quadra   K U A+ D R AX 
quadrada     K U A D R A+ D AX 
quadrado     K U A D R A+ D UX 
quadrados    K U A D R A+ D UX S 
quadrangular     K U A D R A~ G U L A+ RR 
quadras  K U A+ D R AX S 
quadril  K U A D R I+ W 
quadrilha    K U A D R I+ LJ AX 
quadrilhas   K U A D R I+ LJ AX S 
quadrinhos   K U A D R I+ NJ UX S 
quadris  K U A D R I+ S 
quadro   K U A+ D R UX 
quadros  K U A+ D R UX S 
quais    K U A+ IX S 
quaisquer    K U A I S K E+ RR 
qual     K U A+ W 
qualidade    K U A L I D A+ DJ IX 
qualidades   K U A L I D A+ DJ IX S 
qualifica    K U A L I F I+ K AX 
qualificada  K U A L I F I K A+ D AX 
qualificadas     K U A L I F I K A+ D AX S 
qualificado  K U A L I F I K A+ D UX 
qualificados     K U A L I F I K A+ D UX S 
qualificam   K U A L I F I+ K A~+ W~ 
qualificar   K U A L I F I K A+ RR 
qualificação     K U A L I F I K A S A~+ W~ 
qualificações    K U A L I F I K A S O~+ I~ S 
qualificou   K U A L I F I K O+ 
qualquer     K U A W K E+ RR 
quando   K U A~+ D UX 
quanta   K U A~+ T AX 
quantas  K U A~+ T AX S 
quantia  K U A~ TJ I+ AX 
quantias     K U A~ TJ I+ AX S 
quantidade   K U A~ TJ I D A+ DJ IX 
quantidades  K U A~ TJ I D A+ DJ IX S 
quantitativos    K U A~ TJ I T A TJ I+ V UX S 
quanto   K U A~+ T UX 
quantos  K U A~+ T UX S 
quarenta     K U A R E~+ T AX 
quarentena   K U A R E~ T E+ N AX 
quarta   K U A+ RR T AX 
quarta-feira     K U A RR T A F E+ I R AX 
quartas  K U A+ RR T AX S 
quarteirão   K U A RR T E I R A~+ W~ 
quartel  K U A RR T E+ W 
quarteto     K U A RR T E+ T UX 
quarto   K U A+ RR T UX 
quartos  K U A+ RR T UX S 
quase    K U A+ Z IX 
quatorze     K U A T O+ RR Z IX 
quatro   K U A+ T R UX 
quatrocentos     K U A T R O S E~+ T UX S 
quatros  K U A+ T R UX S 
que  K E+ 
quebra   K E+ B R AX 
quebrada     K E B R A+ D AX 
quebradas    K E B R A+ D AX S 
quebrado     K E B R A+ D UX 
quebrados    K E B R A+ D UX S 
quebram  K E+ B R A~+ W~ 
quebrando    K E B R A~+ D UX 
quebrar  K E B R A+ RR 
quebraram    K E B R A+ R A~+ W~ 
quebras  K E+ B R AX S 
quebrou  K E B R O+ 
queda    K E+ D AX 
quedas   K E+ D AX S 
queijo   K E+ I Z UX 
queijos  K E+ I Z UX S 
queima   K E+ I M AX 
queimada     K E I M A+ D AX 
queimado     K E I M A+ D UX 
queimados    K E I M A+ D UX S 
queimaduras  K E I M A D U+ R AX S 
queimar  K E I M A+ RR 
queimou  K E I M O+ 
queira   K E+ I R AX 
queiram  K E I+ R A~+ W~ 
queixa   K E+ I SCH AX 
queixam  K E I+ SCH A~+ W~ 
